"quantity","product_category","sum_total_amount","avg_price_per_unit"
1,"Electronics","16960","186.3736263736263736"
1,"Clothing","16115","183.1250000000000000"
1,"Beauty","11730","158.5135135135135135"
2,"Electronics","26450","150.2840909090909091"
2,"Beauty","29930","199.5333333333333333"
2,"Clothing","24670","154.1875000000000000"
3,"Clothing","48315","187.2674418604651163"
3,"Electronics","43815","208.6428571428571429"
3,"Beauty","52155","204.5294117647058824"
4,"Electronics","69680","187.3118279569892473"
4,"Clothing","66480","171.3402061855670103"
4,"Beauty","49700","170.2054794520547945"
